Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Armenia,ARM,"Population, male",SP.POP.TOTL.MA.IN,1387410
Aruba,ABW,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Aruba,ABW,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Aruba,ABW,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Aruba,ABW,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Aruba,ABW,"Population ages 0-14, female",SP.POP.0014.FE.IN,9044
Aruba,ABW,"Population ages 0-14, male",SP.POP.0014.MA.IN,9406
Aruba,ABW,"Population ages 15-64, male",SP.POP.1564.MA.IN,33862
Aruba,ABW,"Population ages 15-64, female",SP.POP.1564.FE.IN,37473
Aruba,ABW,"Population ages 80 and above, male",SP.POP.80UP.MA,795
Aruba,ABW,"Population ages 80 and above, female",SP.POP.80UP.FE,1602
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,56653
Aruba,ABW,"Population, male",SP.POP.TOTL.MA.IN,50706
Australia,AUS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Australia,AUS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Australia,AUS,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Australia,AUS,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Australia,AUS,"Population ages 0-14, female",SP.POP.0014.FE.IN,2336378
Australia,AUS,"Population ages 0-14, male",SP.POP.0014.MA.IN,2470306
Australia,AUS,"Population ages 15-64, male",SP.POP.1564.MA.IN,8593750
Australia,AUS,"Population ages 15-64, female",SP.POP.1564.FE.IN,8624117
Australia,AUS,"Population ages 80 and above, male",SP.POP.80UP.MA,499038
Australia,AUS,"Population ages 80 and above, female",SP.POP.80UP.FE,668019
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,13432181
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,13226767
Austria,AUT,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Austria,AUT,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Austria,AUT,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Austria,AUT,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Austria,AUT,"Population ages 0-14, female",SP.POP.0014.FE.IN,634439
Austria,AUT,"Population ages 0-14, male",SP.POP.0014.MA.IN,671643
Austria,AUT,"Population ages 15-64, male",SP.POP.1564.MA.IN,3016413
Austria,AUT,"Population ages 15-64, female",SP.POP.1564.FE.IN,2967936
Austria,AUT,"Population ages 80 and above, male",SP.POP.80UP.MA,215573
Austria,AUT,"Population ages 80 and above, female",SP.POP.80UP.FE,346111
Austria,AUT,"Population, female",SP.POP.TOTL.FE.IN,4637070
Austria,AUT,"Population, male",SP.POP.TOTL.MA.IN,4494691
Azerbaijan,AZE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Azerbaijan,AZE,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Azerbaijan,AZE,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Azerbaijan,AZE,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Azerbaijan,AZE,"Population ages 0-14, female",SP.POP.0014.FE.IN,1074715
Azerbaijan,AZE,"Population ages 0-14, male",SP.POP.0014.MA.IN,1194130
Azerbaijan,AZE,"Population ages 15-64, male",SP.POP.1564.MA.IN,3446272
Azerbaijan,AZE,"Population ages 15-64, female",SP.POP.1564.FE.IN,3625453
Azerbaijan,AZE,"Population ages 80 and above, male",SP.POP.80UP.MA,39293
Azerbaijan,AZE,"Population ages 80 and above, female",SP.POP.80UP.FE,81782
Azerbaijan,AZE,"Population, female",SP.POP.TOTL.FE.IN,5178464
Azerbaijan,AZE,"Population, male",SP.POP.TOTL.MA.IN,4975494
"Bahamas, The",BHS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
"Bahamas, The",BHS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
"Bahamas, The",BHS,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
"Bahamas, The",BHS,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
"Bahamas, The",BHS,"Population ages 0-14, female",SP.POP.0014.FE.IN,36177
"Bahamas, The",BHS,"Population ages 0-14, male",SP.POP.0014.MA.IN,37034
"Bahamas, The",BHS,"Population ages 15-64, male",SP.POP.1564.MA.IN,134433
"Bahamas, The",BHS,"Population ages 15-64, female",SP.POP.1564.FE.IN,145869
"Bahamas, The",BHS,"Population ages 80 and above, male",SP.POP.80UP.MA,4155
"Bahamas, The",BHS,"Population ages 80 and above, female",SP.POP.80UP.FE,6684
"Bahamas, The",BHS,"Population, female",SP.POP.TOTL.FE.IN,208531
"Bahamas, The",BHS,"Population, male",SP.POP.TOTL.MA.IN,190909
Bahrain,BHR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Bahrain,BHR,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Bahrain,BHR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Bahrain,BHR,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Bahrain,BHR,"Population ages 0-14, female",SP.POP.0014.FE.IN,146811
Bahrain,BHR,"Population ages 0-14, male",SP.POP.0014.MA.IN,152702
Bahrain,BHR,"Population ages 15-64, male",SP.POP.1564.MA.IN,796113
Bahrain,BHR,"Population ages 15-64, female",SP.POP.1564.FE.IN,424059
Bahrain,BHR,"Population ages 80 and above, male",SP.POP.80UP.MA,4436
Bahrain,BHR,"Population ages 80 and above, female",SP.POP.80UP.FE,4636
Bahrain,BHR,"Population, female",SP.POP.TOTL.FE.IN,598073
Bahrain,BHR,"Population, male",SP.POP.TOTL.MA.IN,978986
Bangladesh,BGD,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Bangladesh,BGD,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Bangladesh,BGD,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Bangladesh,BGD,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Bangladesh,BGD,"Population ages 0-14, female",SP.POP.0014.FE.IN,23494698
Bangladesh,BGD,"Population ages 0-14, male",SP.POP.0014.MA.IN,25134853
Bangladesh,BGD,"Population ages 15-64, male",SP.POP.1564.MA.IN,53931784
Bangladesh,BGD,"Population ages 15-64, female",SP.POP.1564.FE.IN,58068002
Bangladesh,BGD,"Population ages 80 and above, male",SP.POP.80UP.MA,766154
Bangladesh,BGD,"Population ages 80 and above, female",SP.POP.80UP.FE,1004294
Bangladesh,BGD,"Population, female",SP.POP.TOTL.FE.IN,87109279
Bangladesh,BGD,"Population, male",SP.POP.TOTL.MA.IN,84357711
Barbados,BRB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Barbados,BRB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Barbados,BRB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Barbados,BRB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Barbados,BRB,"Population ages 0-14, female",SP.POP.0014.FE.IN,24260
Barbados,BRB,"Population ages 0-14, male",SP.POP.0014.MA.IN,25111
Barbados,BRB,"Population ages 15-64, male",SP.POP.1564.MA.IN,90959
Barbados,BRB,"Population ages 15-64, female",SP.POP.1564.FE.IN,96568
Barbados,BRB,"Population ages 80 and above, male",SP.POP.80UP.MA,2893
Barbados,BRB,"Population ages 80 and above, female",SP.POP.80UP.FE,5268
Barbados,BRB,"Population, female",SP.POP.TOTL.FE.IN,146972
Barbados,BRB,"Population, male",SP.POP.TOTL.MA.IN,135364
Belarus,BLR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Belarus,BLR,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Belarus,BLR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Belarus,BLR,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Belarus,BLR,"Population ages 0-14, female",SP.POP.0014.FE.IN,742821
Belarus,BLR,"Population ages 0-14, male",SP.POP.0014.MA.IN,787686
Belarus,BLR,"Population ages 15-64, male",SP.POP.1564.MA.IN,2962062
Belarus,BLR,"Population ages 15-64, female",SP.POP.1564.FE.IN,3119730
Belarus,BLR,"Population ages 80 and above, male",SP.POP.80UP.MA,76635
Belarus,BLR,"Population ages 80 and above, female",SP.POP.80UP.FE,255129
Belarus,BLR,"Population, female",SP.POP.TOTL.FE.IN,4900868
Belarus,BLR,"Population, male",SP.POP.TOTL.MA.IN,4277430
Belgium,BEL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Belgium,BEL,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Belgium,BEL,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Belgium,BEL,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Belgium,BEL,"Population ages 0-14, female",SP.POP.0014.FE.IN,938446
Belgium,BEL,"Population ages 0-14, male",SP.POP.0014.MA.IN,981813
Belgium,BEL,"Population ages 15-64, male",SP.POP.1564.MA.IN,3769788
Belgium,BEL,"Population ages 15-64, female",SP.POP.1564.FE.IN,3722767
Belgium,BEL,"Population ages 80 and above, male",SP.POP.80UP.MA,248656
Belgium,BEL,"Population ages 80 and above, female",SP.POP.80UP.FE,410761
Belgium,BEL,"Population, female",SP.POP.TOTL.FE.IN,5977124
Belgium,BEL,"Population, male",SP.POP.TOTL.MA.IN,5810299
Belize,BLZ,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Belize,BLZ,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Belize,BLZ,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Belize,BLZ,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Belize,BLZ,"Population ages 0-14, female",SP.POP.0014.FE.IN,54190
Belize,BLZ,"Population ages 0-14, male",SP.POP.0014.MA.IN,56778
Belize,BLZ,"Population ages 15-64, male",SP.POP.1564.MA.IN,141097
Belize,BLZ,"Population ages 15-64, female",SP.POP.1564.FE.IN,139138
Belize,BLZ,"Population ages 80 and above, male",SP.POP.80UP.MA,1396
Belize,BLZ,"Population ages 80 and above, female",SP.POP.80UP.FE,1564
Belize,BLZ,"Population, female",SP.POP.TOTL.FE.IN,203619
Belize,BLZ,"Population, male",SP.POP.TOTL.MA.IN,207487
Benin,BEN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Benin,BEN,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Benin,BEN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Benin,BEN,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Benin,BEN,"Population ages 0-14, female",SP.POP.0014.FE.IN,2911603
Benin,BEN,"Population ages 0-14, male",SP.POP.0014.MA.IN,2991927
Benin,BEN,"Population ages 15-64, male",SP.POP.1564.MA.IN,3887251
Benin,BEN,"Population ages 15-64, female",SP.POP.1564.FE.IN,3884522
Benin,BEN,"Population ages 80 and above, male",SP.POP.80UP.MA,21833
Benin,BEN,"Population ages 80 and above, female",SP.POP.80UP.FE,33783
Benin,BEN,"Population, female",SP.POP.TOTL.FE.IN,7036429
Benin,BEN,"Population, male",SP.POP.TOTL.MA.IN,7074605
Bermuda,BMU,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Bermuda,BMU,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Bermuda,BMU,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Bermuda,BMU,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Bermuda,BMU,"Population ages 0-14, female",SP.POP.0014.FE.IN,4373
Bermuda,BMU,"Population ages 0-14, male",SP.POP.0014.MA.IN,4606
Bermuda,BMU,"Population ages 15-64, male",SP.POP.1564.MA.IN,21282
Bermuda,BMU,"Population ages 15-64, female",SP.POP.1564.FE.IN,20907
Bermuda,BMU,"Population ages 80 and above, male",SP.POP.80UP.MA,1115
Bermuda,BMU,"Population ages 80 and above, female",SP.POP.80UP.FE,2051
Bermuda,BMU,"Population, female",SP.POP.TOTL.FE.IN,33018
Bermuda,BMU,"Population, male",SP.POP.TOTL.MA.IN,31680
Bhutan,BTN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Bhutan,BTN,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Bhutan,BTN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Bhutan,BTN,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Bhutan,BTN,"Population ages 0-14, female",SP.POP.0014.FE.IN,81150
Bhutan,BTN,"Population ages 0-14, male",SP.POP.0014.MA.IN,87620
Bhutan,BTN,"Population ages 15-64, male",SP.POP.1564.MA.IN,308154
Bhutan,BTN,"Population ages 15-64, female",SP.POP.1564.FE.IN,259378
Bhutan,BTN,"Population ages 80 and above, male",SP.POP.80UP.MA,3900
Bhutan,BTN,"Population ages 80 and above, female",SP.POP.80UP.FE,4440
Bhutan,BTN,"Population, female",SP.POP.TOTL.FE.IN,365702
Bhutan,BTN,"Population, male",SP.POP.TOTL.MA.IN,420683
Bolivia,BOL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Bolivia,BOL,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Bolivia,BOL,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Bolivia,BOL,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Bolivia,BOL,"Population ages 0-14, female",SP.POP.0014.FE.IN,1813276
Bolivia,BOL,"Population ages 0-14, male",SP.POP.0014.MA.IN,1877407
Bolivia,BOL,"Population ages 15-64, male",SP.POP.1564.MA.IN,3955902
Bolivia,BOL,"Population ages 15-64, female",SP.POP.1564.FE.IN,3917965
Bolivia,BOL,"Population ages 80 and above, male",SP.POP.80UP.MA,45228
Bolivia,BOL,"Population ages 80 and above, female",SP.POP.80UP.FE,71541
Bolivia,BOL,"Population, female",SP.POP.TOTL.FE.IN,6108428
Bolivia,BOL,"Population, male",SP.POP.TOTL.MA.IN,6135731
Bosnia and Herzegovina,BIH,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..
Bosnia and Herzegovina,BIH,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..
Bosnia and Herzegovina,BIH,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Bosnia and Herzegovina,BIH,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Bosnia and Herzegovina,BIH,"Population ages 0-14, female",SP.POP.0014.FE.IN,203160
