Country Name,Country Code,Series Name,Series Code,2022 [YR2022],2023 [YR2023]
Algeria,DZA,"Population ages 0-14, male",SP.POP.0014.MA.IN,7159175,7218859
Algeria,DZA,"Population ages 0-14, female",SP.POP.0014.FE.IN,6866594,6925557
Algeria,DZA,"Population ages 15-64, male",SP.POP.1564.MA.IN,14692574,14911772
Algeria,DZA,"Population ages 15-64, female",SP.POP.1564.FE.IN,13945376,14164205
Algeria,DZA,"Population ages 80 and above, female",SP.POP.80UP.FE,251889,259114
Algeria,DZA,"Population ages 80 and above, male",SP.POP.80UP.MA,189307,192429
Algeria,DZA,"Population, male",SP.POP.TOTL.MA.IN,23206874,23549235
Algeria,DZA,"Population, female",SP.POP.TOTL.FE.IN,22270515,22614984
American Samoa,ASM,"Population ages 0-14, male",SP.POP.0014.MA.IN,6833,6580
American Samoa,ASM,"Population ages 0-14, female",SP.POP.0014.FE.IN,6735,6494
American Samoa,ASM,"Population ages 15-64, male",SP.POP.1564.MA.IN,15986,15738
American Samoa,ASM,"Population ages 15-64, female",SP.POP.1564.FE.IN,15355,15121
American Samoa,ASM,"Population ages 80 and above, female",SP.POP.80UP.FE,266,274
American Samoa,ASM,"Population ages 80 and above, male",SP.POP.80UP.MA,178,186
American Samoa,ASM,"Population, male",SP.POP.TOTL.MA.IN,24430,24001
American Samoa,ASM,"Population, female",SP.POP.TOTL.FE.IN,23912,23520
Andorra,AND,"Population ages 0-14, male",SP.POP.0014.MA.IN,5161,5063
Andorra,AND,"Population ages 0-14, female",SP.POP.0014.FE.IN,4927,4840
Andorra,AND,"Population ages 15-64, male",SP.POP.1564.MA.IN,29813,30207
Andorra,AND,"Population ages 15-64, female",SP.POP.1564.FE.IN,27873,28279
Andorra,AND,"Population ages 80 and above, female",SP.POP.80UP.FE,1692,1757
Andorra,AND,"Population ages 80 and above, male",SP.POP.80UP.MA,1151,1203
Andorra,AND,"Population, male",SP.POP.TOTL.MA.IN,40793,41354
Andorra,AND,"Population, female",SP.POP.TOTL.FE.IN,38912,39502
Angola,AGO,"Population ages 0-14, male",SP.POP.0014.MA.IN,8013428,8232452
Angola,AGO,"Population ages 0-14, female",SP.POP.0014.FE.IN,7936054,8147813
Angola,AGO,"Population ages 15-64, male",SP.POP.1564.MA.IN,9182074,9498452
Angola,AGO,"Population ages 15-64, female",SP.POP.1564.FE.IN,9515193,9837983
Angola,AGO,"Population ages 80 and above, female",SP.POP.80UP.FE,74149,77203
Angola,AGO,"Population ages 80 and above, male",SP.POP.80UP.MA,43796,45394
Angola,AGO,"Population, male",SP.POP.TOTL.MA.IN,17626416,18181690
Angola,AGO,"Population, female",SP.POP.TOTL.FE.IN,18008613,18568216
Antigua and Barbuda,ATG,"Population ages 0-14, male",SP.POP.0014.MA.IN,8747,8625
Antigua and Barbuda,ATG,"Population ages 0-14, female",SP.POP.0014.FE.IN,8496,8375
Antigua and Barbuda,ATG,"Population ages 15-64, male",SP.POP.1564.MA.IN,31361,31499
Antigua and Barbuda,ATG,"Population ages 15-64, female",SP.POP.1564.FE.IN,34276,34330
Antigua and Barbuda,ATG,"Population ages 80 and above, female",SP.POP.80UP.FE,1235,1280
Antigua and Barbuda,ATG,"Population ages 80 and above, male",SP.POP.80UP.MA,573,595
Antigua and Barbuda,ATG,"Population, male",SP.POP.TOTL.MA.IN,44170,44408
Antigua and Barbuda,ATG,"Population, female",SP.POP.TOTL.FE.IN,48670,48908
Arab World,ARB,"Population ages 0-14, male",SP.POP.0014.MA.IN,79808792,80533026
Arab World,ARB,"Population ages 0-14, female",SP.POP.0014.FE.IN,76469619,77155503
Arab World,ARB,"Population ages 15-64, male",SP.POP.1564.MA.IN,154363452,158579567
Arab World,ARB,"Population ages 15-64, female",SP.POP.1564.FE.IN,139920326,143630301
Arab World,ARB,"Population ages 80 and above, female",SP.POP.80UP.FE,1593984,1652666
Arab World,ARB,"Population ages 80 and above, male",SP.POP.80UP.MA,1048814,1086978
Arab World,ARB,"Population, male",SP.POP.TOTL.MA.IN,243737501,249137276
Arab World,ARB,"Population, female",SP.POP.TOTL.FE.IN,227614565,232530263
Argentina,ARG,"Population ages 0-14, male",SP.POP.0014.MA.IN,5304582,5187490
Argentina,ARG,"Population ages 0-14, female",SP.POP.0014.FE.IN,5026054,4917781
Argentina,ARG,"Population ages 15-64, male",SP.POP.1564.MA.IN,14925506,15066752
Argentina,ARG,"Population ages 15-64, female",SP.POP.1564.FE.IN,14687337,14809317
Argentina,ARG,"Population ages 80 and above, female",SP.POP.80UP.FE,844487,858214
Argentina,ARG,"Population ages 80 and above, male",SP.POP.80UP.MA,425580,435496
Argentina,ARG,"Population, male",SP.POP.TOTL.MA.IN,22527129,22596984
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,22880775,22941417
Armenia,ARM,"Population ages 0-14, male",SP.POP.0014.MA.IN,306087,303434
Armenia,ARM,"Population ages 0-14, female",SP.POP.0014.FE.IN,283673,281148
Armenia,ARM,"Population ages 15-64, male",SP.POP.1564.MA.IN,928161,939223
Armenia,ARM,"Population ages 15-64, female",SP.POP.1564.FE.IN,1067803,1071967
Armenia,ARM,"Population ages 80 and above, female",SP.POP.80UP.FE,56234,52867
Armenia,ARM,"Population ages 80 and above, male",SP.POP.80UP.MA,24071,22046
Armenia,ARM,"Population, male",SP.POP.TOTL.MA.IN,1374836,1387410
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,1594364,1603490
Aruba,ABW,"Population ages 0-14, male",SP.POP.0014.MA.IN,9596,9406
Aruba,ABW,"Population ages 0-14, female",SP.POP.0014.FE.IN,9231,9044
Aruba,ABW,"Population ages 15-64, male",SP.POP.1564.MA.IN,33906,33862
Aruba,ABW,"Population ages 15-64, female",SP.POP.1564.FE.IN,37729,37473
Aruba,ABW,"Population ages 80 and above, female",SP.POP.80UP.FE,1541,1602
Aruba,ABW,"Population ages 80 and above, male",SP.POP.80UP.MA,758,795
Aruba,ABW,"Population, male",SP.POP.TOTL.MA.IN,50658,50706
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,56652,56653
Australia,AUS,"Population ages 0-14, male",SP.POP.0014.MA.IN,2438557,2470306
Australia,AUS,"Population ages 0-14, female",SP.POP.0014.FE.IN,2305309,2336378
Australia,AUS,"Population ages 15-64, male",SP.POP.1564.MA.IN,8393732,8593750
Australia,AUS,"Population ages 15-64, female",SP.POP.1564.FE.IN,8434833,8624117
Australia,AUS,"Population ages 80 and above, female",SP.POP.80UP.FE,641156,668019
Australia,AUS,"Population ages 80 and above, male",SP.POP.80UP.MA,476173,499038
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,12907891,13226767
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,13106508,13432181
Austria,AUT,"Population ages 0-14, male",SP.POP.0014.MA.IN,667145,671643
Austria,AUT,"Population ages 0-14, female",SP.POP.0014.FE.IN,630013,634439
Austria,AUT,"Population ages 15-64, male",SP.POP.1564.MA.IN,3000865,3016413
Austria,AUT,"Population ages 15-64, female",SP.POP.1564.FE.IN,2954468,2967936
Austria,AUT,"Population ages 80 and above, female",SP.POP.80UP.FE,337902,346111
Austria,AUT,"Population ages 80 and above, male",SP.POP.80UP.MA,209403,215573
Austria,AUT,"Population, male",SP.POP.TOTL.MA.IN,4449465,4494691
Austria,AUT,"Population, female",SP.POP.TOTL.FE.IN,4592386,4637070
Azerbaijan,AZE,"Population ages 0-14, male",SP.POP.0014.MA.IN,1216843,1194130
Azerbaijan,AZE,"Population ages 0-14, female",SP.POP.0014.FE.IN,1095235,1074715
Azerbaijan,AZE,"Population ages 15-64, male",SP.POP.1564.MA.IN,3436957,3446272
Azerbaijan,AZE,"Population ages 15-64, female",SP.POP.1564.FE.IN,3629401,3625453
Azerbaijan,AZE,"Population ages 80 and above, female",SP.POP.80UP.FE,85185,81782
Azerbaijan,AZE,"Population ages 80 and above, male",SP.POP.80UP.MA,41055,39293
Azerbaijan,AZE,"Population, male",SP.POP.TOTL.MA.IN,4966581,4975494
Azerbaijan,AZE,"Population, female",SP.POP.TOTL.FE.IN,5175175,5178464
"Bahamas, The",BHS,"Population ages 0-14, male",SP.POP.0014.MA.IN,37701,37034
"Bahamas, The",BHS,"Population ages 0-14, female",SP.POP.0014.FE.IN,36843,36177
"Bahamas, The",BHS,"Population ages 15-64, male",SP.POP.1564.MA.IN,133528,134433
"Bahamas, The",BHS,"Population ages 15-64, female",SP.POP.1564.FE.IN,144735,145869
"Bahamas, The",BHS,"Population ages 80 and above, female",SP.POP.80UP.FE,6363,6684
"Bahamas, The",BHS,"Population ages 80 and above, male",SP.POP.80UP.MA,3989,4155
"Bahamas, The",BHS,"Population, male",SP.POP.TOTL.MA.IN,190243,190909
"Bahamas, The",BHS,"Population, female",SP.POP.TOTL.FE.IN,207295,208531
Bahrain,BHR,"Population ages 0-14, male",SP.POP.0014.MA.IN,148264,152702
Bahrain,BHR,"Population ages 0-14, female",SP.POP.0014.FE.IN,142631,146811
Bahrain,BHR,"Population ages 15-64, male",SP.POP.1564.MA.IN,768427,796113
Bahrain,BHR,"Population ages 15-64, female",SP.POP.1564.FE.IN,412022,424059
Bahrain,BHR,"Population ages 80 and above, female",SP.POP.80UP.FE,4259,4636
Bahrain,BHR,"Population ages 80 and above, male",SP.POP.80UP.MA,4071,4436
Bahrain,BHR,"Population, male",SP.POP.TOTL.MA.IN,944896,978986
Bahrain,BHR,"Population, female",SP.POP.TOTL.FE.IN,579797,598073
Bangladesh,BGD,"Population ages 0-14, male",SP.POP.0014.MA.IN,25197530,25134853
Bangladesh,BGD,"Population ages 0-14, female",SP.POP.0014.FE.IN,23534657,23494698
Bangladesh,BGD,"Population ages 15-64, male",SP.POP.1564.MA.IN,53145617,53931784
Bangladesh,BGD,"Population ages 15-64, female",SP.POP.1564.FE.IN,57115062,58068002
Bangladesh,BGD,"Population ages 80 and above, female",SP.POP.80UP.FE,935747,1004294
Bangladesh,BGD,"Population ages 80 and above, male",SP.POP.80UP.MA,710345,766154
Bangladesh,BGD,"Population, male",SP.POP.TOTL.MA.IN,83399395,84357711
Bangladesh,BGD,"Population, female",SP.POP.TOTL.FE.IN,85985502,87109279
Barbados,BRB,"Population ages 0-14, male",SP.POP.0014.MA.IN,25476,25111
Barbados,BRB,"Population ages 0-14, female",SP.POP.0014.FE.IN,24566,24260
Barbados,BRB,"Population ages 15-64, male",SP.POP.1564.MA.IN,91041,90959
Barbados,BRB,"Population ages 15-64, female",SP.POP.1564.FE.IN,96915,96568
Barbados,BRB,"Population ages 80 and above, female",SP.POP.80UP.FE,5199,5268
Barbados,BRB,"Population ages 80 and above, male",SP.POP.80UP.MA,2946,2893
Barbados,BRB,"Population, male",SP.POP.TOTL.MA.IN,135411,135364
Barbados,BRB,"Population, female",SP.POP.TOTL.FE.IN,146907,146972
Belarus,BLR,"Population ages 0-14, male",SP.POP.0014.MA.IN,805551,787686
Belarus,BLR,"Population ages 0-14, female",SP.POP.0014.FE.IN,759516,742821
Belarus,BLR,"Population ages 15-64, male",SP.POP.1564.MA.IN,2985958,2962062
Belarus,BLR,"Population ages 15-64, female",SP.POP.1564.FE.IN,3153788,3119730
Belarus,BLR,"Population ages 80 and above, female",SP.POP.80UP.FE,267191,255129
Belarus,BLR,"Population ages 80 and above, male",SP.POP.80UP.MA,80406,76635
Belarus,BLR,"Population, male",SP.POP.TOTL.MA.IN,4299910,4277430
Belarus,BLR,"Population, female",SP.POP.TOTL.FE.IN,4928161,4900868
Belgium,BEL,"Population ages 0-14, male",SP.POP.0014.MA.IN,987243,981813
Belgium,BEL,"Population ages 0-14, female",SP.POP.0014.FE.IN,943458,938446
Belgium,BEL,"Population ages 15-64, male",SP.POP.1564.MA.IN,3742862,3769788
Belgium,BEL,"Population ages 15-64, female",SP.POP.1564.FE.IN,3697797,3722767
Belgium,BEL,"Population ages 80 and above, female",SP.POP.80UP.FE,405992,410761
Belgium,BEL,"Population ages 80 and above, male",SP.POP.80UP.MA,243654,248656
Belgium,BEL,"Population, male",SP.POP.TOTL.MA.IN,5756528,5810299
Belgium,BEL,"Population, female",SP.POP.TOTL.FE.IN,5923682,5977124
Belize,BLZ,"Population ages 0-14, male",SP.POP.0014.MA.IN,56878,56778
Belize,BLZ,"Population ages 0-14, female",SP.POP.0014.FE.IN,54320,54190
Belize,BLZ,"Population ages 15-64, male",SP.POP.1564.MA.IN,136827,141097
Belize,BLZ,"Population ages 15-64, female",SP.POP.1564.FE.IN,135747,139138
Belize,BLZ,"Population ages 80 and above, female",SP.POP.80UP.FE,1531,1564
Belize,BLZ,"Population ages 80 and above, male",SP.POP.80UP.MA,1378,1396
Belize,BLZ,"Population, male",SP.POP.TOTL.MA.IN,202913,207487
Belize,BLZ,"Population, female",SP.POP.TOTL.FE.IN,199820,203619
Benin,BEN,"Population ages 0-14, male",SP.POP.0014.MA.IN,2937274,2991927
Benin,BEN,"Population ages 0-14, female",SP.POP.0014.FE.IN,2858314,2911603
Benin,BEN,"Population ages 15-64, male",SP.POP.1564.MA.IN,3770925,3887251
Benin,BEN,"Population ages 15-64, female",SP.POP.1564.FE.IN,3771599,3884522
Benin,BEN,"Population ages 80 and above, female",SP.POP.80UP.FE,32546,33783
Benin,BEN,"Population ages 80 and above, male",SP.POP.80UP.MA,20985,21833
Benin,BEN,"Population, male",SP.POP.TOTL.MA.IN,6896459,7074605
Benin,BEN,"Population, female",SP.POP.TOTL.FE.IN,6863042,7036429
Bermuda,BMU,"Population ages 0-14, male",SP.POP.0014.MA.IN,4703,4606
Bermuda,BMU,"Population ages 0-14, female",SP.POP.0014.FE.IN,4445,4373
Bermuda,BMU,"Population ages 15-64, male",SP.POP.1564.MA.IN,21433,21282
Bermuda,BMU,"Population ages 15-64, female",SP.POP.1564.FE.IN,21127,20907
Bermuda,BMU,"Population ages 80 and above, female",SP.POP.80UP.FE,1966,2051
Bermuda,BMU,"Population ages 80 and above, male",SP.POP.80UP.MA,1079,1115
Bermuda,BMU,"Population, male",SP.POP.TOTL.MA.IN,31733,31680
Bermuda,BMU,"Population, female",SP.POP.TOTL.FE.IN,33016,33018
Bhutan,BTN,"Population ages 0-14, male",SP.POP.0014.MA.IN,89478,87620
Bhutan,BTN,"Population ages 0-14, female",SP.POP.0014.FE.IN,82627,81150
Bhutan,BTN,"Population ages 15-64, male",SP.POP.1564.MA.IN,304361,308154
Bhutan,BTN,"Population ages 15-64, female",SP.POP.1564.FE.IN,255674,259378
Bhutan,BTN,"Population ages 80 and above, female",SP.POP.80UP.FE,4387,4440
Bhutan,BTN,"Population ages 80 and above, male",SP.POP.80UP.MA,3919,3900
Bhutan,BTN,"Population, male",SP.POP.TOTL.MA.IN,418190,420683
Bhutan,BTN,"Population, female",SP.POP.TOTL.FE.IN,362724,365702
Bolivia,BOL,"Population ages 0-14, male",SP.POP.0014.MA.IN,1873742,1877407
Bolivia,BOL,"Population ages 0-14, female",SP.POP.0014.FE.IN,1809612,1813276
Bolivia,BOL,"Population ages 15-64, male",SP.POP.1564.MA.IN,3885764,3955902
Bolivia,BOL,"Population ages 15-64, female",SP.POP.1564.FE.IN,3846319,3917965
Bolivia,BOL,"Population ages 80 and above, female",SP.POP.80UP.FE,70129,71541
Bolivia,BOL,"Population ages 80 and above, male",SP.POP.80UP.MA,44307,45228
Bolivia,BOL,"Population, male",SP.POP.TOTL.MA.IN,6053750,6135731
Bolivia,BOL,"Population, female",SP.POP.TOTL.FE.IN,6023404,6108428
Bosnia and Herzegovina,BIH,"Population ages 0-14, male",SP.POP.0014.MA.IN,221932,217904
Bosnia and Herzegovina,BIH,"Population ages 0-14, female",SP.POP.0014.FE.IN,206758,203160
Bosnia and Herzegovina,BIH,"Population ages 15-64, male",SP.POP.1564.MA.IN,1046076,1035050
Bosnia and Herzegovina,BIH,"Population ages 15-64, female",SP.POP.1564.FE.IN,1053717,1039632
Bosnia and Herzegovina,BIH,"Population ages 80 and above, female",SP.POP.80UP.FE,123660,123550
Bosnia and Herzegovina,BIH,"Population ages 80 and above, male",SP.POP.80UP.MA,43671,42797
Bosnia and Herzegovina,BIH,"Population, male",SP.POP.TOTL.MA.IN,1524174,1514667
Bosnia and Herzegovina,BIH,"Population, female",SP.POP.TOTL.FE.IN,1680628,1670406
Botswana,BWA,"Population ages 0-14, male",SP.POP.0014.MA.IN,398109,403108
Botswana,BWA,"Population ages 0-14, female",SP.POP.0014.FE.IN,392983,397546
Botswana,BWA,"Population ages 15-64, male",SP.POP.1564.MA.IN,778324,790449
Botswana,BWA,"Population ages 15-64, female",SP.POP.1564.FE.IN,775805,790684
Botswana,BWA,"Population ages 80 and above, female",SP.POP.80UP.FE,9696,9991
Botswana,BWA,"Population ages 80 and above, male",SP.POP.80UP.MA,4987,5140
Botswana,BWA,"Population, male",SP.POP.TOTL.MA.IN,1217995,1236969
Botswana,BWA,"Population, female",SP.POP.TOTL.FE.IN,1221897,1243275
Brazil,BRA,"Population ages 0-14, male",SP.POP.0014.MA.IN,21670483,21470798
Brazil,BRA,"Population ages 0-14, female",SP.POP.0014.FE.IN,20816622,20622116
Brazil,BRA,"Population ages 15-64, male",SP.POP.1564.MA.IN,72405514,72580447
Brazil,BRA,"Population ages 15-64, female",SP.POP.1564.FE.IN,73853635,74015441
Brazil,BRA,"Population ages 80 and above, female",SP.POP.80UP.FE,2353596,2430382
Brazil,BRA,"Population ages 80 and above, male",SP.POP.80UP.MA,1511751,1557629
Brazil,BRA,"Population, male",SP.POP.TOTL.MA.IN,103548935,103913061
Brazil,BRA,"Population, female",SP.POP.TOTL.FE.IN,106757480,107227668
British Virgin Islands,VGB,"Population ages 0-14, male",SP.POP.0014.MA.IN,3089,2996
British Virgin Islands,VGB,"Population ages 0-14, female",SP.POP.0014.FE.IN,2999,2906
British Virgin Islands,VGB,"Population ages 15-64, male",SP.POP.1564.MA.IN,13385,13804
British Virgin Islands,VGB,"Population ages 15-64, female",SP.POP.1564.FE.IN,15452,15692
British Virgin Islands,VGB,"Population ages 80 and above, female",SP.POP.80UP.FE,311,316
British Virgin Islands,VGB,"Population ages 80 and above, male",SP.POP.80UP.MA,185,190
British Virgin Islands,VGB,"Population, male",SP.POP.TOTL.MA.IN,18003,18413
British Virgin Islands,VGB,"Population, female",SP.POP.TOTL.FE.IN,20316,20572
Brunei Darussalam,BRN,"Population ages 0-14, male",SP.POP.0014.MA.IN,50134,50130
Brunei Darussalam,BRN,"Population ages 0-14, female",SP.POP.0014.FE.IN,46322,46361
Brunei Darussalam,BRN,"Population ages 15-64, male",SP.POP.1564.MA.IN,178754,179743
Brunei Darussalam,BRN,"Population ages 15-64, female",SP.POP.1564.FE.IN,151920,152832
Brunei Darussalam,BRN,"Population ages 80 and above, female",SP.POP.80UP.FE,2238,2259
Brunei Darussalam,BRN,"Population ages 80 and above, male",SP.POP.80UP.MA,1722,1744
Brunei Darussalam,BRN,"Population, male",SP.POP.TOTL.MA.IN,242167,243889
Brunei Darussalam,BRN,"Population, female",SP.POP.TOTL.FE.IN,213203,215060
Bulgaria,BGR,"Population ages 0-14, male",SP.POP.0014.MA.IN,496231,481418
Bulgaria,BGR,"Population ages 0-14, female",SP.POP.0014.FE.IN,469657,455801
Bulgaria,BGR,"Population ages 15-64, male",SP.POP.1564.MA.IN,2148041,2080521
Bulgaria,BGR,"Population ages 15-64, female",SP.POP.1564.FE.IN,2087973,2021406
Bulgaria,BGR,"Population ages 80 and above, female",SP.POP.80UP.FE,210637,207587
Bulgaria,BGR,"Population ages 80 and above, male",SP.POP.80UP.MA,105216,103166
Bulgaria,BGR,"Population, male",SP.POP.TOTL.MA.IN,3216090,3120023
Bulgaria,BGR,"Population, female",SP.POP.TOTL.FE.IN,3427234,3326573
Burkina Faso,BFA,"Population ages 0-14, male",SP.POP.0014.MA.IN,4910482,4957142
Burkina Faso,BFA,"Population ages 0-14, female",SP.POP.0014.FE.IN,4761273,4806075
Burkina Faso,BFA,"Population ages 15-64, male",SP.POP.1564.MA.IN,6064597,6267051
Burkina Faso,BFA,"Population ages 15-64, female",SP.POP.1564.FE.IN,6188655,6392069
Burkina Faso,BFA,"Population ages 80 and above, female",SP.POP.80UP.FE,36591,38052
Burkina Faso,BFA,"Population ages 80 and above, male",SP.POP.80UP.MA,20716,21591
Burkina Faso,BFA,"Population, male",SP.POP.TOTL.MA.IN,11211359,11468763
Burkina Faso,BFA,"Population, female",SP.POP.TOTL.FE.IN,11297679,11557013
Burundi,BDI,"Population ages 0-14, male",SP.POP.0014.MA.IN,3079627,3122491
Burundi,BDI,"Population ages 0-14, female",SP.POP.0014.FE.IN,3046598,3087693
Burundi,BDI,"Population ages 15-64, male",SP.POP.1564.MA.IN,3393149,3528074
Burundi,BDI,"Population ages 15-64, female",SP.POP.1564.FE.IN,3470581,3607547
Burundi,BDI,"Population ages 80 and above, female",SP.POP.80UP.FE,23060,24095
Burundi,BDI,"Population ages 80 and above, male",SP.POP.80UP.MA,13829,14494
Burundi,BDI,"Population, male",SP.POP.TOTL.MA.IN,6616267,6799975
Burundi,BDI,"Population, female",SP.POP.TOTL.FE.IN,6704830,6889475
Cabo Verde,CPV,"Population ages 0-14, male",SP.POP.0014.MA.IN,72691,70811
Cabo Verde,CPV,"Population ages 0-14, female",SP.POP.0014.FE.IN,68547,66932
Cabo Verde,CPV,"Population ages 15-64, male",SP.POP.1564.MA.IN,179086,181552
Cabo Verde,CPV,"Population ages 15-64, female",SP.POP.1564.FE.IN,166524,168669
Cabo Verde,CPV,"Population ages 80 and above, female",SP.POP.80UP.FE,4351,4367
Cabo Verde,CPV,"Population ages 80 and above, male",SP.POP.80UP.MA,1807,1805
Cabo Verde,CPV,"Population, male",SP.POP.TOTL.MA.IN,264410,265691
Cabo Verde,CPV,"Population, female",SP.POP.TOTL.FE.IN,255331,256640
Cambodia,KHM,"Population ages 0-14, male",SP.POP.0014.MA.IN,2675953,2679088
Cambodia,KHM,"Population ages 0-14, female",SP.POP.0014.FE.IN,2562732,2567339
Cambodia,KHM,"Population ages 15-64, male",SP.POP.1564.MA.IN,5361745,5451936
Cambodia,KHM,"Population ages 15-64, female",SP.POP.1564.FE.IN,5609279,5686846
Cambodia,KHM,"Population ages 80 and above, female",SP.POP.80UP.FE,83213,87091
Cambodia,KHM,"Population ages 80 and above, male",SP.POP.80UP.MA,46407,48482
Cambodia,KHM,"Population, male",SP.POP.TOTL.MA.IN,8421853,8533951
Cambodia,KHM,"Population, female",SP.POP.TOTL.FE.IN,8779871,8889929
Cameroon,CMR,"Population ages 0-14, male",SP.POP.0014.MA.IN,5852080,5968170
Cameroon,CMR,"Population ages 0-14, female",SP.POP.0014.FE.IN,5769767,5880422
Cameroon,CMR,"Population ages 15-64, male",SP.POP.1564.MA.IN,7579232,7820546
Cameroon,CMR,"Population ages 15-64, female",SP.POP.1564.FE.IN,7668151,7916253
Cameroon,CMR,"Population ages 80 and above, female",SP.POP.80UP.FE,57706,58849
Cameroon,CMR,"Population ages 80 and above, male",SP.POP.80UP.MA,38954,39898
Cameroon,CMR,"Population, male",SP.POP.TOTL.MA.IN,13772296,14140585
Cameroon,CMR,"Population, female",SP.POP.TOTL.FE.IN,13860475,14232102
Canada,CAN,"Population ages 0-14, male",SP.POP.0014.MA.IN,3096711,3139905
Canada,CAN,"Population ages 0-14, female",SP.POP.0014.FE.IN,2957497,2996874
Canada,CAN,"Population ages 15-64, male",SP.POP.1564.MA.IN,12843793,13189143
Canada,CAN,"Population ages 15-64, female",SP.POP.1564.FE.IN,12665707,13009666
Canada,CAN,"Population ages 80 and above, female",SP.POP.80UP.FE,1060445,1114542
Canada,CAN,"Population ages 80 and above, male",SP.POP.80UP.MA,730381,775812
Canada,CAN,"Population, male",SP.POP.TOTL.MA.IN,19340865,19912181
Canada,CAN,"Population, female",SP.POP.TOTL.FE.IN,19598191,20185580
Caribbean small states,CSS,"Population ages 0-14, male",SP.POP.0014.MA.IN,384937,383044
Caribbean small states,CSS,"Population ages 0-14, female",SP.POP.0014.FE.IN,372687,370819
Caribbean small states,CSS,"Population ages 15-64, male",SP.POP.1564.MA.IN,1038752,1046330
Caribbean small states,CSS,"Population ages 15-64, female",SP.POP.1564.FE.IN,1065961,1073211
Caribbean small states,CSS,"Population ages 80 and above, female",SP.POP.80UP.FE,31769,32645
Caribbean small states,CSS,"Population ages 80 and above, male",SP.POP.80UP.MA,18761,19048
Caribbean small states,CSS,"Population, male",SP.POP.TOTL.MA.IN,1540054,1549691
Caribbean small states,CSS,"Population, female",SP.POP.TOTL.FE.IN,1591451,1602703
Cayman Islands,CYM,"Population ages 0-14, male",SP.POP.0014.MA.IN,5924,6018
Cayman Islands,CYM,"Population ages 0-14, female",SP.POP.0014.FE.IN,5784,5883
Cayman Islands,CYM,"Population ages 15-64, male",SP.POP.1564.MA.IN,27343,27778
